Player,Team,FFB
Christian McCaffrey,CAR,1
Jonathan Taylor,IND,2
Austin Ekeler,LAC,3
Derrick Henry,TEN,4
Dalvin Cook,MIN,5
Alvin Kamara,NO,6
Joe Mixon,CIN,7
Najee Harris,PIT,8
Ezekiel Elliott,DAL,9
Aaron Jones,GB,10
Leonard Fournette,TB,11
D'Andre Swift,DET,12
James Conner,ARI,13
Nick Chubb,CLE,14
Javonte Williams,DEN,15
Saquon Barkley,NYG,16
David Montgomery,CHI,17
Josh Jacobs,LV,18
Breece Hall,NYJ,19
Cordarrelle Patterson,ATL,20
Travis Etienne Jr.,JAX,21
Chase Edmonds,MIA,22
Cam Akers,LAR,23
Elijah Mitchell,SF,24
Clyde Edwards-Helaire,KC,25
Kareem Hunt,CLE,26
AJ Dillon,GB,27
J.K. Dobbins,BAL,28
Miles Sanders,PHI,29
Damien Harris,NE,30
Tony Pollard,DAL,31
Antonio Gibson,WAS,32
Devin Singletary,BUF,33
Rashaad Penny,SEA,34
Melvin Gordon III,DEN,35
Rhamondre Stevenson,NE,36
Dameon Pierce,HOU,37
Kenneth Walker III,SEA,38
Darrell Henderson Jr.,LAR,39
Jamaal Williams,DET,40
J.D. McKissic,WAS,41
Michael Carter,NYJ,42
Rachaad White,TB,43
Mark Ingram II,NO,44
Kenneth Gainwell,PHI,45
Nyheim Hines,IND,46
Gus Edwards,BAL,47
James Cook,BUF,48
Eno Benjamin,ARI,49
Brian Robinson,WAS,50
Damien Williams,ATL,51
James Robinson,JAX,52
Alexander Mattison,MIN,53
Isaiah Spiller,LAC,54
Khalil Herbert,CHI,55
Raheem Mostert,MIA,56
Rex Burkhead,HOU,57
Matt Breida,NYG,58
Jerick McKinnon,KC,59
Tyler Allgeier,ATL,60
Ronald Jones,KC,61
Boston Scott,PHI,62
Darrel Williams,ARI,63
Marlon Mack,HOU,64
Tyrion Davis-Price,SF,65
Pierre Strong Jr.,NE,66
Mike Davis,BAL,67
Sony Michel,MIA,68
Joshua Kelley,LAC,69
Hassan Haskins,TEN,70
Chris Evans,CIN,71
Zamir White,LV,72
Jeff Wilson Jr.,SF,73
Trey Sermon,SF,74
Benny Snell Jr.,PIT,75
Tyler Badie,BAL,76
Isiah Pacheco,KC,77
D'Ernest Johnson,CLE,78