Player,Team,Rank
Cooper Kupp,LAR,1
Justin Jefferson,MIN,2
Ja'Marr Chase,CIN,3
Stefon Diggs,BUF,4
Davante Adams,LV,5
Deebo Samuel,SF,6
CeeDee Lamb,DAL,7
Mike Evans,TB,8
Mike Williams,LAC,9
Michael Pittman Jr.,IND,10
Tyreek Hill,MIA,11
Tee Higgins,CIN,12
Courtland Sutton,DEN,13
DJ Moore,CAR,14
A.J. Brown,PHI,15
Keenan Allen,LAC,16
Brandin Cooks,HOU,17
Marquise Brown,ARI,18
Jaylen Waddle,MIA,19
Amon-Ra St. Brown,DET,20
Allen Robinson II,LAR,21
Diontae Johnson,PIT,22
Darnell Mooney,CHI,23
Adam Thielen,MIN,24
Jerry Jeudy,DEN,25
Hunter Renfrow,LV,26
Terry McLaurin,WAS,27
DK Metcalf,SEA,28
Rashod Bateman,BAL,29
Christian Kirk,JAX,30
Elijah Moore,NYJ,31
JuJu Smith-Schuster,KC,32
Amari Cooper,CLE,33
Robert Woods,TEN,34
Michael Thomas,NO,35
DeVonta Smith,PHI,36
Gabe Davis,BUF,37
Allen Lazard,GB,38
Drake London,ATL,39
Chris Godwin,TB,40
Brandon Aiyuk,SF,41
Tyler Lockett,SEA,42
Chris Olave,NO,43
Kadarius Toney,NYG,44
DeVante Parker,NE,45
Garrett Wilson,NYJ,46
Treylon Burks,TEN,47
Marquez Valdes-Scantling,KC,48
Chase Claypool,PIT,49
Marvin Jones Jr.,JAX,50
Tyler Boyd,CIN,51
Julio Jones,TB,52
K.J. Osborn,MIN,53
Michael Gallup,DAL,54
Jakobi Meyers,NE,55
Kendrick Bourne,NE,56
Kenny Golladay,NYG,57
Jahan Dotson,WAS,58
Randall Cobb,GB,59
Wan'Dale Robinson,NYG,60
Russell Gage,TB,61
Rondale Moore,ARI,62
DeAndre Hopkins,ARI,63
Robbie Anderson,CAR,64
KJ Hamler,DEN,65
Donovan Peoples-Jones,CLE,66
Jameson Williams,DET,67
Corey Davis,NYJ,68
Van Jefferson,LAR,69
DJ Chark,DET,70
Jalen Tolbert,DAL,71
Mecole Hardman,KC,72
Curtis Samuel,WAS,73
Joshua Palmer,LAC,74
Cedrick Wilson Jr.,MIA,75
Skyy Moore,KC,76
Jarvis Landry,NO,77
Nico Collins,HOU,78
Devin Duvernay,BAL,79
A.J. Green,ARI,80
Alec Pierce,IND,81
George Pickens,PIT,82
Parris Campbell,IND,83
Zay Jones,JAX,84
Sammy Watkins,GB,85
Nick Westbrook-Ikhine,TEN,86
Bryan Edwards,ATL,87
Terrace Marshall Jr.,CAR,88
Jamison Crowder,BUF,89
Quez Watkins,PHI,90
N'Keal Harry,CHI,91
Isaiah McKenzie,BUF,92
Romeo Doubs,GB,93
Christian Watson,GB,94
David Bell,CLE,95
Olamide Zaccheaus,ATL,96
Byron Pringle,CHI,97
Deonte Harty,NO,98
Laviska Shenault Jr.,JAX,99
Velus Jones Jr.,CHI,100
Nelson Agholor,NE,101
Anthony Schwartz,CLE,102
Tyquan Thornton,NE,103
Calvin Austin III,PIT,104
Sterling Shepard,NYG,105
Tutu Atwell,LAR,106
James Washington,DAL,107
Tim Patrick,DEN,108
John Metchie III,HOU,109